Player,Hits,atBats,avg17
Trout,17,64,0.306
herreod01,16,49,0.281
donaljo02,11,46,0.27
yelicch01,10,26,0.282
ozunama01,19,66,0.312
markani01,17,57,0.275
mccutan01,12,59,0.279
hernace02,14,51,0.294
longoev01,11,54,0.261
forsylo01,8,46,0.224
gonzaad01,8,33,0.242
zobribe01,14,43,0.232
heywaja01,9,45,0.259
escobal02,7,45,0.25
castrst01,18,61,0.3
mazarno01,17,57,0.253
cabremi01,12,49,0.249
encared01,7,48,0.258
crawfbr01,13,47,0.253
inciaen01,10,56,0.304
freemfr01,16,50,0.307
bryankr01,19,54,0.295
francma02,9,38,0.23
pillake01,16,52,0.256
kinslia01,5,13,0.236
kipnija01,9,55,0.232
millebr02,6,27,0.201
harpebr03,15,50,0.319
blackch02,14,47,0.331
spande01,9,40,0.272
daviskh01,16,62,0.247
seageco01,11,55,0.295
pujolal01,20,71,0.241
arenano01,15,52,0.309
poseybu01,15,48,0.32
lindofr01,14,58,0.273
santaca01,8,52,0.259
odorro01,7,34,0.204
rizzoan01,3,28,0.273
lambja01,5,18,0.248
villajo01,14,50,0.241
goldspa01,13,54,0.297
schoojo01,14,61,0.293
